epoch,step,train_loss,val_acc,val_loss
0,43,,0.550000011920929,0.7620483636856079
0,43,0.7412142157554626,,
1,87,,0.5640000104904175,0.7459537386894226
1,87,0.7135437726974487,,
2,131,,0.5659999847412109,0.7461880445480347
2,131,0.7011497616767883,,
3,175,,0.5591999888420105,0.7522336840629578
3,175,0.7055414319038391,,
4,219,,0.5640000104904175,0.7477301955223083
4,219,0.7089343070983887,,
